"product.id","key","value"
95,"name","Cool Cotton Bold Boxers"
96,"name","Diamond Lip Stretch Boxer Briefs"
97,"name","Del Mar - Temple Boxer Briefs"
98,"name","Basilone Doorman Stretch Modal Boxer Briefs"
99,"name","Aftermath Stretch Boxer Briefs"
1,"name","Garden Stretch Cotton Boxer Briefs"
10,"name","'Air' Icon Trunks"
100,"name","Modal Blend Boxer Briefs"
101,"name","Stripe Stretch Cotton Boxer Briefs"
102,"name","Stretch Cotton Trunks"
103,"name","Give-N-Go Sport Mesh Boxer Briefs"
104,"name","Ex Officio Give-N-Go Briefs"
105,"name","Cotton Boxers"
106,"name","Quest 2.0 Stretch Boxer Briefs"
107,"name","365 Boxer Briefs"
108,"name","Pro Elite 2.0 Boxer Briefs"
11,"name","Slim Fit Stretch Woven Boxer Shorts"
110,"name","'U1029' Slim Fit Boxer Shorts"
111,"name","Iron Strength Boxer Briefs"
112,"name","'Vibe' Stretch Boxer Briefs"
113,"name","'Vibe' Stretch Boxer Briefs"
114,"name","'Ultra' Long Underwear"
115,"name","'Ultra' Long Underwear"
116,"name","Knights in Shining Silk Boxers"
117,"name","Pima Cotton Contour Pouch Briefs"
12,"name","Basilone Staple Stretch Modal Boxer Briefs"
13,"name","'Vibe' Stretch Boxer Briefs"
14,"name","Del Mar Star Warsâ<U+0084>¢ Darth Vader Boxer Briefs"
15,"name","Del Mar Star Warsâ<U+0084>¢ Stormtrooper Boxer Briefs"
16,"name","The Wholester - Annex Floral Boxer Briefs"
17,"name","Del Mar - Flamingo Nights Boxer Briefs"
18,"name","Cool Cotton Armory Boxer Briefs"
19,"name","Maximize Brief"
2,"name","'You a Cheetah' Stretch Boxer Briefs"
20,"name","Bears Stretch Boxer Briefs"
21,"name","Modal Blend Low Rise Trunks"
22,"name","Cypress Silk Boxers"
23,"name","Modern Stretch Modal Trunks"
24,"name","Second Skin Titanium Boxer Briefs"
25,"name","Cool Cotton Boxer Briefs"
26,"name","Wholester Centerfire Stretch Modal Boxer Briefs"
27,"name","Overprint Stretch Cotton Boxer Briefs"
28,"name","Stripe Stretch Boxers"
29,"name","Stretch Pima Cotton Boxer Briefs"
3,"name","Wholester Burnout Stretch Modal Boxer Briefs"
30,"name","Stretch Cotton Trunks"
31,"name","Second Skin Titanium Briefs"
32,"name","'Electric' No-Show Trunks"
33,"name","Steel U2716 Microfiber Low Rise Trunks"
34,"name","Wholester Burnout Stretch Modal Boxer Briefs"
35,"name","Almost Naked Briefs"
36,"name","Del Mar - Flamingo Nights Boxer Briefs"
37,"name","Cool Cotton Armory Boxer Briefs"
38,"name","Second Skin Titanium Boxer Briefs"
39,"name","Stretch Pima Cotton Boxer Briefs"
4,"name","Rugby No-Show Trunks"
40,"name","Pima Cotton Boxer Briefs"
41,"name","Cypress Silk Boxers"
42,"name","Sliq Microfiber Thong"
43,"name","The Wholester - Annex Floral Boxer Briefs"
44,"name","'Cool Cotton' Trunks"
45,"name","Slim Fit Stretch Woven Boxer Shorts"
46,"name","Wholester Centerfire Stretch Modal Boxer Briefs"
47,"name","Stripe Stretch Boxers"
48,"name","Almost Naked Tagless Sports Boxer Briefs"
49,"name","Modern Stretch Modal Trunks"
5,"name","Iron Strength Briefs"
50,"name","St. Patrick's Day Stretch Cotton Trunks"
51,"name","Basilone Staple Stretch Modal Boxer Briefs"
52,"name","Pop Scratches Stretch Boxer Briefs"
53,"name","'Vibe' Stretch Boxer Briefs"
54,"name","Cypress Silk Boxers"
55,"name","Liquid Stretch Microfiber Briefs"
56,"name","Cotton & Modal Blend Microjacquard Trunks"
57,"name","'Maximize' Trunks"
58,"name","Trend Stretch Microfiber Briefs"
59,"name","Liquid Stretch Microfiber Trunks"
6,"name","'Second Skin' Boxer Briefs"
60,"name","Stripe Trunks"
61,"name","Stretch Cotton No-Show Briefs"
62,"name","Marble Floor Stretch Cotton Boxer Briefs"
63,"name","'Iron Strength' Briefs"
64,"name","Second Skin Titanium Boxers"
65,"name","'Lift' Stretch Cotton Briefs"
66,"name","Print Stretch Cotton Boxer Briefs"
67,"name","Cool Cotton Boxer Briefs"
68,"name","Modal Blend Low Rise Trunks"
69,"name","'Lift' Stretch Cotton Trunks"
7,"name","Solid Stretch Modal Boxer Briefs"
70,"name","'Vibe' Stretch Boxer Briefs"
71,"name","Stretch Boxer Briefs"
72,"name","Modal Blend Low Rise Trunks"
73,"name","Second Skin Titanium Trunks"
74,"name","'Intense Power' Microfiber Hip Briefs"
75,"name","Ex Officio Give-N-Go Sport Mesh Boxer Briefs"
76,"name","Form Shaping Contour Boxer Briefs"
77,"name","Stretch Cotton Boxer Briefs"
78,"name","Basilone Sunburst Stretch Modal Boxer Briefs"
79,"name","Cool Cotton Trunks"
8,"name","Vibe Stretch Boxer Briefs"
80,"name","'Intense Power' Microfiber Boxer Briefs"
81,"name","Snake Me Stretch Boxer Briefs"
82,"name","Cool Cotton Trunks"
83,"name","Hexagon Stretch Boxer Briefs"
84,"name","'Kinetic' Stretch Boxer Briefs"
85,"name","Microfiber Boxer Briefs"
86,"name","Golden Ticket Stretch Boxer Briefs"
87,"name","'Vibe' Stretch Boxer Briefs"
88,"name","'Cool Cotton' Boxer Briefs"
89,"name","Intense Power Microfiber Low Rise Trunks"
9,"name","Kinetic Stretch Boxer Briefs"
90,"name","Graphic Cotton Trunks"
91,"name","Print Stretch Cotton Boxer Briefs"
92,"name","U5554 Micromodal Trunks"
93,"name","CoolFlex Tagless Sports Boxer Briefs"
94,"name","Cyclist Stretch Boxer Briefs"
95,"name","Boxer Shorts"
96,"name","Ex Officio Give-N-Go Sport Mesh Boxer Briefs"
97,"name","U5555 Micromodal Boxer Briefs"
98,"name","Air FX Microfiber Boxer Briefs"
99,"name","Give-N-Go Sport Mesh Boxer Briefs"
1,"color","alliumpurple"
1,"color","blueshadow"
1,"color","mink"
1,"color","orangerouge"
1,"color","perpetua"
1,"color","prussian"
1,"color","white"
10,"color","black"
10,"color","cobaltwater"
100,"color","camocollision"
11,"color","black"
11,"color","crownblue/redstripe"
11,"color","mink"
11,"color","white"
12,"color","blueshadow"
12,"color","callaorange"
12,"color","dodgerblue"
12,"color","white"
13,"color","orangetiedye"
14,"color","cruisenavystripe"
14,"color","flaggreenstripe"
14,"color","jewelblue"
14,"color","jewelbluestripe"
14,"color","oldschoolpink"
14,"color","redstripe"
15,"color","heatherblackpalm"
15,"color","navypineapplebomb"
16,"color","black"
16,"color","cobaltwater"
16,"color","white"
17,"color","blueplaid"
17,"color","clarkbluestripe"
17,"color","coralplaid"
17,"color","nantucketorangeplaid"
18,"color","particleblue"
19,"color","estateblue"
2,"color","black"
2,"color","blueshadow"
2,"color","mink"
2,"color","white"
20,"color","black"
20,"color","bluecamo"
20,"color","heathergrey"
20,"color","lapisblue"
21,"color","black"
21,"color","heathergrey"
22,"color","black"
23,"color","brightcamo"
23,"color","darkcharcoalluckysailor"
23,"color","redhikerstripe"
24,"color","black"
24,"color","brilliantred"
24,"color","cobaltwater"
24,"color","white"
25,"color","black"
26,"color","blue"
27,"color","blue/multi"
28,"color","black/red"
29,"color","black/multi"
3,"color","blackjaws"
3,"color","blackstripe"
3,"color","black/gradientstripe"
3,"color","brightnavy"
3,"color","cobalt/gradientstripe"
3,"color","desert"
3,"color","electric/brightstripe"
3,"color","greypineapplebomb"
3,"color","heathermagnumhawaii"
3,"color","hikerredstripe"
3,"color","indigo"
3,"color","oceanheather"
3,"color","oceanvintagepalm"
3,"color","redluckysailor"
3,"color","redmagnumhawaii"
3,"color","redparadise"
3,"color","saltandpepper"
3,"color","tonalpurplehikerstripe"
3,"color","woodland"
30,"color","white/black"
31,"color","black/white"
32,"color","black"
33,"color","fuchsia/multi"
34,"color","minileopard"
35,"color","chambrayamericana"
36,"color","lumberjackcamo"
37,"color","black"
38,"color","blue/brown"
39,"color","indigotiedye"
4,"color","black"
4,"color","blueice"
4,"color","crownblue"
4,"color","crownblue/redstripe"
4,"color","darkmidnight"
4,"color","iceblue/rapturestripe"
4,"color","mink"
4,"color","paradise/orangerougestripe"
4,"color","rapture"
4,"color","white"
40,"color","spacerlapisblue"
41,"color","black"
41,"color","brilliantred"
41,"color","cobaltwater"
41,"color","white"
