QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYA,CLOTHYA_,CLOTHMOA,CLOT_MOA,CLOTHXA,CLOTHXA_
20151,2845494,1,0,1,200,D,12,D,.,H
20151,2845494,1,100,1,200,D,12,D,42,E
20151,2845494,1,200,1,200,D,12,D,39,E
20151,2845494,2,0,1,200,D,1,D,.,H
20151,2845494,2,100,1,200,D,1,D,22,E
20151,2845494,2,200,1,200,D,1,D,21,E
20151,2845574,3,0,1,200,D,1,D,41,D
20151,2845874,6,0,1,200,D,1,D,20,D
20151,2845994,10,0,1,200,D,12,D,35,D
20151,2846084,10,0,1,200,D,12,D,54,D
20151,2846544,5,2,1,200,D,11,D,33,E
20151,2846614,8,101,1,200,D,12,D,10,E
20151,2846614,8,201,1,200,D,12,D,12,E
20151,2846614,8,301,1,200,D,12,D,4,E
20151,2846844,1,6,1,200,D,12,D,50,E
20151,2847134,17,0,1,200,D,12,D,35,D
20151,2867794,1,202,1,200,D,12,D,3,E
20151,2867804,1,2,1,200,D,12,D,10,E
20151,2867824,8,3,1,200,D,12,D,95,E
20151,2867824,9,3,1,200,D,12,D,115,E
20151,2867844,4,103,2,200,D,12,D,8,E
20151,2867964,6,2,1,200,D,12,D,35,E
20151,2867994,3,0,1,200,D,2,D,11,D
20151,2868714,4,101,1,200,D,12,D,31,E
20151,2869084,4,0,1,200,D,12,D,16,D
20151,2869264,1,102,1,200,D,2,D,43,E
20151,2869264,1,204,1,200,D,2,D,27,E
20151,2869585,7,0,1,200,D,12,D,90,D
20151,2869604,4,0,2,200,D,12,D,16,D
20151,2869874,3,1,1,200,D,12,D,200,E
20151,2870364,13,0,1,200,D,1,D,32,D
20151,2870374,7,0,1,200,D,1,D,400,D
20151,2870404,2,0,1,200,D,1,D,12,D
20151,2870464,5,0,1,200,D,2,D,15,D
20151,2870944,1,101,1,200,D,12,D,4,E
20151,2871004,5,3,1,200,D,12,D,234,E
20151,2871204,2,205,2,200,D,12,D,14,E
20151,2871204,2,302,2,200,D,12,D,118,E
20151,2871314,1,2,1,200,D,2,D,59,E
20151,2871324,5,0,1,200,D,2,D,13,D
20151,2871814,4,3,1,200,D,12,D,20,E
20151,2871994,6,103,1,200,D,12,D,33,E
20151,2871994,6,203,1,200,D,12,D,19,E
20151,2871994,8,103,1,200,D,2,D,34,E
20151,2871994,8,203,1,200,D,2,D,33,E
20151,2872254,2,1,1,200,D,1,D,28,E
20151,2873034,1,1,2,200,D,12,D,7,E
20151,2873404,2,0,1,200,D,12,D,100,D
20151,2873404,3,0,1,200,D,12,D,109,D
20151,2873574,2,4,1,200,D,1,D,110,E
20151,2873644,9,0,1,200,D,1,D,68,D
20151,2873644,10,0,1,200,D,12,D,38,D
20151,2873644,11,0,1,200,D,12,D,38,D
20151,2873704,3,103,1,200,D,2,D,10,E
